time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-09-30T16:13:00.695	0.880	-98.544	15.900	0.000	0.546	0.315	-0.022	40	6.839
2017-09-30T16:20:44.897	0.432	-96.926	17.392	27536.435	0.677	0.249	-0.007	41	4.564
2017-09-30T16:20:23.706	1.604	-95.030	16.080	0.000	0.757	0.428	-0.378	42	11.172
2017-09-12T23:25:31.018	2.836	-94.509	15.775	49038.228	0.312	0.350	-0.043	70	9.476
2017-09-12T23:25:33.252	2.040	-94.694	15.420	53146.424	0.576	0.373	-0.078	71	8.376
2017-09-14T08:57:02.813	2.313	-94.489	15.773	32261.955	0.886	0.518	0.036	89	20.971
2017-09-14T09:04:18.401	1.810	-94.897	15.332	33928.255	1.072	0.297	-0.048	90	7.735
2017-09-18T08:53:10.729	1.792	-92.708	16.287	42256.885	0.193	0.296	-0.033	192	4.979
2017-09-18T08:54:28.866	1.649	-95.010	15.318	33857.441	0.878	0.309	-0.003	193	9.673
2017-09-18T09:01:39.506	1.473	-93.722	15.191	23335.377	0.227	0.298	-0.001	194	6.000
2017-09-18T09:10:57.929	1.495	-94.936	15.664	35515.564	0.327	0.437	-0.034	195	6.538
2017-09-18T09:13:04.263	1.833	-94.981	15.284	31790.754	0.964	0.447	-0.472	196	19.976
2017-09-18T09:17:42.091	2.691	-95.515	15.443	174224.636	0.111	0.758	-0.051	197	4.646
2017-09-18T09:19:21.699	1.794	-94.989	16.019	4024.381	0.754	0.267	0.030	198	7.767
2017-09-18T09:22:14.428	1.180	-93.721	15.211	18374.413	0.041	0.351	-0.020	199	5.017
2017-09-18T09:22:42.224	1.299	-94.929	16.802	0.000	0.769	0.333	-0.049	200	5.085
2017-09-18T09:27:07.285	1.875	-94.333	14.948	26868.614	0.952	0.227	0.061	201	8.959
2017-09-18T09:30:16.086	1.300	-93.628	15.184	22974.503	0.445	0.342	-0.021	202	7.000
2017-09-13T14:41:39.705	2.097	-94.789	15.245	34885.831	0.322	0.501	-0.333	264	9.012
2017-09-13T14:50:10.739	2.366	-94.867	16.569	40577.589	0.926	0.276	-0.047	265	7.987
2017-09-13T15:20:02.637	2.368	-94.747	15.530	28854.529	0.091	0.501	-0.021	266	4.879
